NULL,JAL,ZAP1,FIFTY,AM00001,"AMBULANCIA TRASLADO BSICO, CID.(SOLO IDA)",1500.00,1.67,1950.00
NULL,JAL,ZAP1,FIFTY,AM00002,"AMBULANCIA TRASLADO BSICO, CID.",1000.00,1.30,1300.00
NULL,JAL,ZAP1,FIFTY,AM00003,"AMBULANCIA TRASLADO BSICO, CID MS DE 15 KM (SOLO IDA)",2500.00,1.30,3250.00
NULL,JAL,ZAP1,FIFTY,AM00004,"AMBULANCIA TRASLADO BSICO, CID MS DE 15 KM",2000.00,1.10,2200.00
NULL,JAL,ZAP1,FIFTY,ANESTE0001,ANESTESIA GENERAL,3780.00,1.00,3780.00
NULL,JAL,ZAP1,FIFTY,ANESTE0002,ANESTESIA REGIONAL,3024.00,1.00,3024.00
NULL,JAL,ZAP1,FIFTY,ANESTE0003,SEDACION,952.89,1.00,952.89
NULL,JAL,ZAP1,FIFTY,ANESTE0004,SEVOFLUORANO 1ML,14.94,1.30,19.42
NULL,JAL,ZAP1,FIFTY,ANESTE0005,TUBO ENDOTRAQUEAL 7.5 C/ALMA DE ACERO,312.48,1.30,406.22
NULL,JAL,ZAP1,FIFTY,ANESTE0006,TUBO ENDOTRAQUEAL 8 C/ALMA DE ACERO,312.48,1.30,406.22
NULL,JAL,ZAP1,FIFTY,ANESTE0007,TUBO ENDOTRAQUEAL 7 C/ALMA DE ACERO,312.48,1.30,406.22
NULL,JAL,ZAP1,FIFTY,ANESTE0008,TUBO ENDOTRAQUEAL 8.5 C/ALMA DE ACERO,312.48,1.30,406.22
NULL,JAL,ZAP1,FIFTY,ANESTE0009,"AGUJA PARA STIMUPLEX, ULTRA 360 30° 20GX100MM-SA",441.51,1.30,573.96
NULL,JAL,ZAP1,FIFTY,ANESTE0010,"AGUJA PARA STIMUPLEX, ULTRA 360 30° 20GX150MM-SA",441.51,1.30,573.96
NULL,JAL,ZAP1,FIFTY,ANESTE0011,"AGUJA PARA STIMUPLEX, ULTRA 360 30° 22GX35MM-SA",441.51,1.30,573.96
NULL,JAL,ZAP1,FIFTY,ANESTE0012,"AGUJA PARA STIMUPLEX, ULTRA 360 30° 22GX50MM-SA",441.51,1.30,573.96
NULL,JAL,ZAP1,FIFTY,ANESTE0013,BOMBA ELASTOMERICA EPIDURAL (100 ML 2ML/H),594.18,1.30,772.43
NULL,JAL,ZAP1,FIFTY,ANESTE0014,BOMBA ELASTOMERICA EPIDURAL (125 ML 5ML/H),594.18,1.30,772.43
NULL,JAL,ZAP1,FIFTY,ANESTE0015,BOMBA ELASTOMERICA EPIDURAL (60 ML 2ML/H),594.18,1.30,772.43
NULL,JAL,ZAP1,FIFTY,ANESTE0016,CANULA SUPRAGLOTICA IGEL TAMAÑOS NO. 1,1409.40,1.30,1832.22
NULL,JAL,ZAP1,FIFTY,ANESTE0017,CANULA SUPRAGLOTICA IGEL TAMAÑOS NO. 2,1409.40,1.30,1832.22
NULL,JAL,ZAP1,FIFTY,ANESTE0018,CANULA SUPRAGLOTICA IGEL TAMAÑOS NO. 3,1409.40,1.30,1832.22
NULL,JAL,ZAP1,FIFTY,ANESTE0019,CANULA SUPRAGLOTICA IGEL TAMAÑOS NO. 4,1409.40,1.30,1832.22
NULL,JAL,ZAP1,FIFTY,ANESTE0020,CANULA SUPRAGLOTICA IGEL TAMAÑOS NO. 5,1409.40,1.30,1832.22
NULL,JAL,ZAP1,FIFTY,ANESTE0021,CATETER VENOSO CENTRAL 5.5FR X 30 CM 3 LUMENES,1608.64,1.30,2091.23
NULL,JAL,ZAP1,FIFTY,ANESTE0022,CATETER VENOSO CENTRAL 7 FR X 20 CM 3 LUMENES,1450.87,1.30,1886.13
NULL,JAL,ZAP1,FIFTY,ANESTE0023,KIT DE PRESION INVASIVA,540.00,1.30,702.00
NULL,JAL,ZAP1,FIFTY,ANESTE0024,MASCARILLA LARINGEA SUPREME NO. 4 DESECHABLE,611.99,1.30,795.59
NULL,JAL,ZAP1,FIFTY,ANESTE0025,MASCARILLA LARINGEA SUPREME NO. 5 DESECHABLE,611.99,1.30,795.59
NULL,JAL,ZAP1,FIFTY,ANESTE0026,SENSOR BIS ADULTO,822.94,1.30,1069.82
NULL,JAL,ZAP1,FIFTY,ANESTE0027,SENSOR BIS PEDIATRICO,934.24,1.30,1214.51
NULL,JAL,ZAP1,FIFTY,ANESTE0028,ESTILETE DE INTUBACION,74.00,1.30,96.20
NULL,JAL,ZAP1,FIFTY,ANESTE0029,SURTIDO DE DESFLURANO (1ML),19.44,1.30,25.27
NULL,JAL,ZAP1,FIFTY,ANESTE0030,SURTIDO DE ESMERON (BROMURO DE ROCURONIO) 50 MG 5ML,749.00,1.30,973.70
NULL,JAL,ZAP1,FIFTY,ANESTE0031,SURTIDO DEXMEDETOMIDINA (DEMESYNT)200 MG/2 ML,440.21,1.30,572.27
NULL,JAL,ZAP1,FIFTY,ANESTE0032,SURTIDO DE SUGAMMADEX (BRIDION),3287.23,1.30,4273.40
NULL,JAL,ZAP1,FIFTY,ANESTE0033,SURTIDO DE RECOFOL (100ML),1438.08,1.30,1869.50
NULL,JAL,ZAP1,FIFTY,AYC00001,"ANESTESIA ESTUDIOS DE RAYOS X CONTRASTADOS (CISTOGRAMAS, ETC.)",2200.00,1.30,2860.00
NULL,JAL,ZAP1,FIFTY,AYC00002,ANESTESIA RESONANCIA MAGNETICA,2200.00,1.30,2860.00
NULL,JAL,ZAP1,FIFTY,AYC00003,ANESTESIA TOMOGRAFIA,2200.00,1.30,2860.00
NULL,JAL,ZAP1,FIFTY,AYC00004,ANESTESIA DOS REGIONES RESONANCIA MAGNETICA,3900.00,1.30,2860.00
NULL,JAL,ZAP1,FIFTY,AYC00005,APLICACION DE CONTRASTE PARA TOMOGRAFIA NO IONICO,1000.00,1.30,2860.00
NULL,JAL,ZAP1,FIFTY,AYC00006,APLICACION DE CONTRASTE GADOLINIO PARA RM,1300.00,1.30,2860.00
NULL,JAL,ZAP1,FIFTY,AYC00007,ANESTESIA PARA MEDICINA NUCLEAR - DMSA,2200.00,1.30,2860.00
NULL,JAL,ZAP1,FIFTY,AYC00008,ANESTESIA ECOCARDIOGRAMA,2200.00,1.30,5070.00
NULL,JAL,ZAP1,FIFTY,AYC00009,"ANESTESIA ESTUDIOS BIOPSIA TC, BIOPSIA ECO, ANGIOGRAFIAS, DRENAJE, PUNCION, ETC.",2600.00,1.30,2860.00
NULL,JAL,ZAP1,FIFTY,AYC00010,ANESTESIA MEDICINA NUCLEAR,2200.00,1.30,1690.00
NULL,JAL,ZAP1,FIFTY,AYC00011,ANESTESIA ECO,2200.00,1.30,1300.00
